Refactoring Type,Source File,Model,Split,Pos Train,Neg Train,Accuracy,TN,TP,FN,FP,Model Params,Approach,Type Split,Type File
Pull Up Method,count_PBS_all,RandomForest,0.2,6,12,0.6296296296296297,76,50,50,24,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",count,PBS,all
Pull Up Method,count_PBS_all,SVM,0.2,6,12,0.49074074074074076,98,0,100,2,"[""{'C': 10, 'gamma': 'scale', 'kernel': 'poly'}""]",count,PBS,all
Pull Up Method,count_PBS_all,LogisticRegression,0.2,6,12,0.3950617283950617,79,0,100,21,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all
Pull Up Method,count_PBS_all,RandomForest,0.3,5,10,0.49085365853658536,98,0,100,2,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 50}""]",count,PBS,all
Pull Up Method,count_PBS_all,SVM,0.3,5,10,0.42886178861788615,52,33,67,48,"[""{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}""]",count,PBS,all
Pull Up Method,count_PBS_all,LogisticRegression,0.3,5,10,0.38109756097560976,76,0,100,24,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all
Pull Up Method,count_PBS_all,RandomForest,0.4,4,8,0.5,100,0,100,0,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 50}""]",count,PBS,all
Pull Up Method,count_PBS_all,SVM,0.4,4,8,0.4819277108433735,96,0,100,4,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly'}""]",count,PBS,all
Pull Up Method,count_PBS_all,LogisticRegression,0.4,4,8,0.42771084337349397,86,0,100,14,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all
Pull Up Method,count_PBS_all,RandomForest,0.5,4,8,0.5,100,0,100,0,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 50}""]",count,PBS,all
Pull Up Method,count_PBS_all,SVM,0.5,4,8,0.4819277108433735,96,0,100,4,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly'}""]",count,PBS,all
Pull Up Method,count_PBS_all,LogisticRegression,0.5,4,8,0.42771084337349397,86,0,100,14,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all
Move Attribute,count_PBS_all,RandomForest,0.2,9,18,0.587719298245614,84,33,67,16,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,PBS,all
Move Attribute,count_PBS_all,SVM,0.2,9,18,0.6403508771929824,95,33,67,5,"[""{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}""]",count,PBS,all
Move Attribute,count_PBS_all,LogisticRegression,0.2,9,18,0.6173245614035088,90,33,67,10,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all
